month,ve_s1,ve_s2,ve_s3
0,0.76,0.76,0.628991418
1,0.753527485,0.76,0.623634632
2,0.746961516,0.76,0.618200504
3,0.740300745,0.76,0.612687915
4,0.733543803,0.76,0.607095732
5,0.726689302,0.76,0.601422808
6,0.719735832,0.76,0.595667975
7,0.712681964,0.76,0.589830051
8,0.70552625,0.76,0.583907837
9,0.698267219,0.76,0.577900116
10,0.690903378,0.76,0.571805652
11,0.683433215,0.76,0.565623193
12,0.675855195,0.76,0.55935147
13,0.66816776,0.76,0.552989193
14,0.66036933,0.76,0.546535054
15,0.652458303,0.76,0.539987728
16,0.644433053,0.76,0.533345868
17,0.636291932,0.76,0.526608111
18,0.628033265,0.76,0.51977307
19,0.619655355,0.76,0.512839343
20,0.611156482,0.76,0.505805503
21,0.602534899,0.76,0.498670105
22,0.593788833,0.76,0.491431684
23,0.584916487,0.76,0.484088751
24,0.575916039,0.76,0.476639797
25,0.566785638,0.76,0.469083292
26,0.557523409,0.76,0.461417683
27,0.548127447,0.76,0.453641395
28,0.538595823,0.76,0.445752829
29,0.528926577,0.76,0.437750365
30,0.519117721,0.76,0.429632357
31,0.509167242,0.76,0.421397138
32,0.499073092,0.76,0.413043016
33,0.488833199,0.76,0.404568272
34,0.478445458,0.76,0.395971167
35,0.467907735,0.76,0.387249933
36,0.457217863,0.76,0.378402778
37,0.446373645,0.76,0.369427884
38,0.435372855,0.76,0.360323407
39,0.42421323,0.76,0.351087475
40,0.412892477,0.76,0.34171819
41,0.401408271,0.76,0.332213628
42,0.38975825,0.76,0.322571834
43,0.377940021,0.76,0.312790829
44,0.365951156,0.76,0.3028686
45,0.35378919,0.76,0.292803111
46,0.341451624,0.76,0.282592291
47,0.328935923,0.76,0.272234043
48,0.316239515,0.76,0.261726238
49,0.30335979,0.76,0.251066716
50,0.290294103,0.76,0.240253288
51,0.277039767,0.76,0.229283731
52,0.263594059,0.76,0.218155791
53,0.249954216,0.76,0.20686718
54,0.236117435,0.76,0.19541558
55,0.222080873,0.76,0.183798636
56,0.207841645,0.76,0.172013961
57,0.193396824,0.76,0.160059135
58,0.178743443,0.76,0.147931699
59,0.163878489,0.76,0.135629162
60,0.148798909,0.76,0.123148996
